l.p.: 9
N = 12
b:
  -90	  828	  478	 -152	 -825	  528	  798	 -802	  384	  690	 -313	 -798	
A:
	 -335	 -469	  -13	 -426	 -410	 -956	  192	 -303	 -954	 -480	 -534	 -284
	 -623	  452	  663	  709	 -127	 -197	 -634	  313	 -789	 -722	  692	  787
	 -285	   -1	 -421	  650	  813	 -263	   -8	 -319	  190	  693	 -711	  138
	  733	  717	  695	  216	 -744	 -543	 -226	 -609	  602	 -432	 -880	  259
	 -840	 -777	  309	 -277	 -601	 -344	 -939	 -130	  314	 -268	 -112	 -324
	  592	 -345	  729	  757	  455	 -602	  983	 -875	  886	 -888	 -936	 -538
	 -843	 -756	  605	  870	  871	  -94	  706	  736	 -751	 -490	  852	  595
	  940	   48	 -951	  224	  366	  -79	  795	  215	 -500	 -506	  -95	  241
	 -834	  374	 -349	 -344	  490	  945	 -311	 -743	 -717	  366	 -683	  424
	  329	 -655	  538	  247	 -535	 -369	 -415	  749	  793	  530	 -554	  528
	  494	  229	 -453	 -250	 -673	 -124	  798	  759	  927	  903	  548	 -904
	 -242	 -346	  187	  -79	 -410	  167	  574	 -150	 -471	  220	  244	 -270
